,cannibals,angelfish,trinidado,summer_isles,summer_islands,islands,somer,somers,sommer,guiana,bahamas,caribs,barbados,tobago,guianian,berreo,morequito,sugarcane,trinidad,bermuda,guyana,amazon,cannibal,west_indies,tobacco,sugar,shipwreck,island,summer
A09195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,3.588090886,0,0,7.539949611,4.944219755
A09287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,4.750740848,0,2.355947205
A11408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.680511204,4.300047399,4.025104352,0,5.493492614,2.805864075,7.539949611,8.888019855
A11774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.300047399,4.025104352,6.075165967,5.493492614,2.805864075,0,6.577237918
A11779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.302199421,0,0,4.025104352,0,0,2.805864075,6.444874438,3.988965367
A11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,0,0
A11808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.302199421,0,0,4.025104352,3.588090886,0,0,0,2.355947205
A11954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.162294474,5.302199421,13.06686148,11.22070671,4.025104352,0,12.62248714,7.321728096,12.22473879,12.36517769
A12274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,0,4.944219755
A12674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,0,3.988965367
A12792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,0,0
A14313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,6.695617621,0,0
A15387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,2.805864075,0,0
A16053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,3.588090886,10.37353976,5.888420829,2.700787691,9.843274243
A16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,6.809042498,0,2.700787691,2.355947205
A16303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,0,0
A17357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.924794349,0,4.025104352,0,3.244545234,2.805864075,0,3.988965367
A17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.302199421,0,0,4.025104352,0,5.493492614,0,7.956277869,3.988965367
A19313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,3.588090886,0,2.805864075,4.572831064,4.944219755
A19543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,8.919581168,0
A19644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,5.493492614,0,0,2.355947205
A20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,3.244545234,0,0,5.62198353
A20601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,6.695617621,0,0
A20936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,2.805864075,0,0
A20947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,5.493492614,2.805864075,0,3.988965367
A22244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,0,0,0
A68096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,3.244545234,0,0,4.944219755
A73905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,2.805864075,0,0
B00417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025104352,0,0,4.750740848,0,0
